timestamp,Glucose
1991-03-01,
1991-03-02,10.0
1991-03-03,-20.0
1991-03-04,8.5
1991-03-05,-38.0
1991-03-06,-34.75
1991-03-07,33.25
1991-03-08,58.75
1991-03-09,3.25
1991-03-10,-59.0
1991-03-11,-38.5
1991-03-12,87.0
1991-03-13,-28.0
1991-03-14,-8.25
1991-03-15,85.75
1991-03-16,-116.25
1991-03-17,-7.0
1991-03-18,35.75
1991-03-19,-47.0
1991-03-20,-23.5
1991-03-21,81.75
1991-03-22,-60.0
1991-03-23,23.5
1991-03-24,30.75
1991-03-25,-43.5
1991-03-26,-37.25
1991-03-27,-14.75
1991-03-28,-22.75
1991-03-29,19.75
1991-03-30,57.5
1991-03-31,1.75
1991-04-01,-84.5
1991-04-02,50.25
1991-04-03,-17.75
1991-04-04,41.25
1991-04-05,12.0
1991-04-06,10.25
1991-04-07,30.25
1991-04-08,-103.75
1991-04-09,-10.75
1991-04-10,20.75
1991-04-11,67.5
1991-04-12,-48.25
1991-04-13,60.25
1991-04-14,10.25
1991-04-15,-61.75
1991-04-16,-11.0
1991-04-17,-23.25
1991-04-18,11.5
1991-04-19,24.25
1991-04-20,38.5
1991-04-21,18.5
1991-04-22,-42.75
1991-04-23,-34.75
1991-04-24,9.75
1991-04-25,11.5
1991-04-26,-7.0
1991-04-27,21.75
1991-04-28,39.5
1991-04-29,-20.75
1991-04-30,-9.0
1991-05-01,-24.5
1991-05-02,-36.5
1991-05-03,-5.5
1991-05-04,60.5
1991-05-05,-14.25
1991-05-06,-61.5
1991-05-07,78.25
1991-05-08,-56.5
1991-05-09,10.0
1991-05-10,-5.5
1991-05-11,30.0
1991-05-12,26.25
1991-05-13,0.0
1991-05-14,1.75
1991-05-15,6.0
1991-05-16,-26.25
1991-05-17,-16.0
1991-05-18,37.25
1991-05-19,-24.0
1991-05-20,36.5
1991-05-21,0.75
1991-05-22,8.25
1991-05-23,-13.5
1991-05-24,-36.5
1991-05-25,-33.75
1991-05-26,-4.25
1991-05-27,-21.25
1991-05-28,18.0
1991-05-29,-1.0
1991-05-30,90.25
1991-05-31,-13.0
1991-06-01,-45.0
1991-06-02,-41.25
1991-06-03,63.75
1991-06-04,33.5
1991-06-05,-27.75
1991-06-06,29.0
1991-06-07,32.0
1991-06-08,-23.5
1991-06-09,50.25
1991-06-10,38.0
1991-06-11,-128.75
1991-06-12,-28.25
1991-06-13,19.25
1991-06-14,-15.75
1991-06-15,13.25
1991-06-16,-16.75
1991-06-17,-5.5
1991-06-18,-5.0
1991-06-19,15.25
1991-06-20,-11.0
1991-06-21,29.75
1991-06-22,0.25
1991-06-23,31.0
1991-06-24,-39.5
1991-06-25,-31.0
1991-06-26,-4.5
1991-06-27,2.75
1991-06-28,15.25
1991-06-29,-4.0
1991-06-30,-18.0
1991-07-01,-7.75
1991-07-02,1.0
1991-07-03,9.5
1991-07-04,17.5
1991-07-05,-21.0
1991-07-06,16.5
1991-07-07,-34.25
1991-07-08,61.25
1991-07-09,-61.25
1991-07-10,46.5
1991-07-11,28.5
1991-07-12,-70.5
1991-07-13,45.0
1991-07-14,23.25
1991-07-15,30.25
1991-07-16,31.25
1991-07-17,42.75
1991-07-18,-72.0
1991-07-19,-35.0
1991-07-20,4.75
1991-07-21,-48.75
1991-07-22,-36.75
1991-07-23,-22.75
1991-07-24,108.25
1991-07-25,-31.0
1991-07-26,-17.5
1991-07-27,15.5
