timestamp,Glucose
1991-03-01 08:00:00,281.0
1991-03-01 12:00:00,209.0
1991-03-01 18:00:00,116.0
1991-03-01 22:00:00,321.0
1991-03-02 08:00:00,304.0
1991-03-02 12:00:00,266.0
1991-03-02 18:00:00,105.0
1991-03-02 22:00:00,292.0
1991-03-03 08:00:00,292.0
1991-03-03 12:00:00,105.0
1991-03-03 18:00:00,69.0
1991-03-03 22:00:00,421.0
1991-03-04 08:00:00,360.0
1991-03-04 12:00:00,160.0
1991-03-04 18:00:00,121.0
1991-03-04 22:00:00,280.0
1991-03-05 08:00:00,320.0
1991-03-05 12:00:00,89.0
1991-03-05 18:00:00,44.0
1991-03-05 22:00:00,316.0
1991-03-06 08:00:00,185.0
1991-03-06 12:00:00,60.0
1991-03-06 18:00:00,185.0
1991-03-06 22:00:00,200.0
1991-03-07 08:00:00,300.0
1991-03-07 12:00:00,177.0
1991-03-07 18:00:00,76.0
1991-03-07 22:00:00,210.0
1991-03-08 08:00:00,297.0
1991-03-08 12:00:00,222.0
1991-03-08 18:00:00,261.0
1991-03-08 22:00:00,218.0
1991-03-09 08:00:00,301.0
1991-03-09 12:00:00,247.0
1991-03-09 18:00:00,266.0
1991-03-09 22:00:00,197.0
1991-03-10 08:00:00,199.0
1991-03-10 12:00:00,222.0
1991-03-10 18:00:00,187.0
1991-03-10 22:00:00,167.0
1991-03-11 08:00:00,210.0
1991-03-11 12:00:00,166.0
1991-03-11 18:00:00,149.0
1991-03-11 22:00:00,96.0
1991-03-12 08:00:00,377.0
1991-03-12 12:00:00,282.0
1991-03-12 18:00:00,197.0
1991-03-12 22:00:00,113.0
1991-03-13 08:00:00,361.0
1991-03-13 12:00:00,224.0
1991-03-13 18:00:00,172.0
1991-03-13 22:00:00,100.0
1991-03-14 08:00:00,349.0
1991-03-14 12:00:00,261.0
1991-03-14 18:00:00,141.0
1991-03-14 22:00:00,73.0
1991-03-15 08:00:00,400.0
1991-03-15 12:00:00,366.0
1991-03-15 18:00:00,241.0
1991-03-15 22:00:00,160.0
1991-03-16 08:00:00,175.0
1991-03-16 12:00:00,221.0
1991-03-16 18:00:00,166.0
1991-03-16 22:00:00,140.0
1991-03-17 08:00:00,210.0
1991-03-17 12:00:00,147.0
1991-03-17 18:00:00,201.0
1991-03-17 22:00:00,116.0
1991-03-18 08:00:00,300.0
1991-03-18 12:00:00,200.0
1991-03-18 18:00:00,166.0
1991-03-18 22:00:00,151.0
1991-03-19 08:00:00,160.0
1991-03-19 12:00:00,166.0
1991-03-19 18:00:00,141.0
1991-03-19 22:00:00,162.0
1991-03-20 08:00:00,140.0
1991-03-20 12:00:00,100.0
1991-03-20 18:00:00,191.0
1991-03-20 22:00:00,104.0
1991-03-21 08:00:00,327.0
1991-03-21 12:00:00,69.0
1991-03-21 18:00:00,289.0
1991-03-21 22:00:00,177.0
1991-03-22 08:00:00,166.0
1991-03-22 12:00:00,97.0
1991-03-22 18:00:00,260.0
1991-03-22 22:00:00,99.0
1991-03-23 08:00:00,280.0
1991-03-23 12:00:00,147.0
1991-03-23 18:00:00,200.0
1991-03-23 22:00:00,89.0
1991-03-24 08:00:00,307.0
1991-03-24 12:00:00,261.0
1991-03-24 18:00:00,161.0
1991-03-24 22:00:00,110.0
1991-03-25 08:00:00,189.0
1991-03-25 12:00:00,169.0
1991-03-25 18:00:00,166.0
1991-03-25 22:00:00,141.0
1991-03-26 08:00:00,161.0
1991-03-26 12:00:00,99.0
1991-03-26 18:00:00,140.0
1991-03-26 22:00:00,116.0
1991-03-27 08:00:00,99.0
1991-03-27 12:00:00,161.0
1991-03-27 18:00:00,87.0
1991-03-27 22:00:00,110.0
1991-03-28 08:00:00,80.0
1991-03-28 12:00:00,104.0
1991-03-28 18:00:00,90.0
1991-03-28 22:00:00,92.0
1991-03-29 08:00:00,77.0
1991-03-29 12:00:00,110.0
1991-03-29 18:00:00,141.0
1991-03-29 22:00:00,117.0
1991-03-30 08:00:00,90.0
1991-03-30 12:00:00,196.0
1991-03-30 18:00:00,201.0
1991-03-30 22:00:00,188.0
1991-03-31 08:00:00,132.0
1991-03-31 12:00:00,261.0
1991-03-31 18:00:00,190.0
1991-03-31 22:00:00,99.0
1991-04-01 08:00:00,87.0
1991-04-01 12:00:00,60.0
1991-04-01 18:00:00,110.0
1991-04-01 22:00:00,87.0
1991-04-02 08:00:00,66.0
1991-04-02 12:00:00,40.0
1991-04-02 18:00:00,320.0
1991-04-02 22:00:00,119.0
1991-04-03 08:00:00,88.0
1991-04-03 12:00:00,71.0
1991-04-03 18:00:00,147.0
1991-04-03 22:00:00,168.0
1991-04-04 08:00:00,92.0
1991-04-04 12:00:00,56.0
1991-04-04 18:00:00,281.0
1991-04-04 22:00:00,210.0
1991-04-05 08:00:00,166.0
1991-04-05 12:00:00,61.0
1991-04-05 18:00:00,264.0
1991-04-05 22:00:00,196.0
1991-04-06 08:00:00,147.0
1991-04-06 12:00:00,290.0
1991-04-06 18:00:00,201.0
1991-04-06 22:00:00,90.0
1991-04-07 08:00:00,77.0
1991-04-07 12:00:00,316.0
