timestamp,QV2M
2000-01-01,
2000-01-02,
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-08,
2000-01-09,
2000-01-10,7.328
2000-01-11,7.026000000000001
2000-01-12,6.823
2000-01-13,6.37
2000-01-14,6.01
2000-01-15,6.052
2000-01-16,6.355
2000-01-17,6.861
2000-01-18,7.243
2000-01-19,6.758
2000-01-20,6.372
2000-01-21,5.9190000000000005
2000-01-22,5.523999999999999
2000-01-23,5.534000000000001
2000-01-24,5.59
2000-01-25,5.458
2000-01-26,4.979
2000-01-27,4.319
2000-01-28,3.718
2000-01-29,3.5409999999999995
2000-01-30,3.5380000000000003
2000-01-31,3.6089999999999995
2000-02-01,3.501
2000-02-02,3.0599999999999996
2000-02-03,3.091
2000-02-04,3.25
2000-02-05,3.353
2000-02-06,3.396
2000-02-07,3.442
2000-02-08,3.4869999999999997
2000-02-09,3.588
2000-02-10,3.929
2000-02-11,4.575
2000-02-12,5.269
2000-02-13,6.042
2000-02-14,6.534000000000001
2000-02-15,6.8420000000000005
2000-02-16,7.483
2000-02-17,8.023
2000-02-18,8.693000000000001
2000-02-19,8.856
2000-02-20,8.620000000000001
2000-02-21,8.036000000000001
2000-02-22,7.553
2000-02-23,7.103
2000-02-24,7.104000000000001
2000-02-25,7.412000000000001
2000-02-26,7.461999999999999
2000-02-27,7.279000000000001
2000-02-28,6.627
2000-02-29,6.627000000000001
2000-03-01,7.197999999999999
2000-03-02,7.397000000000001
2000-03-03,7.7620000000000005
2000-03-04,7.7299999999999995
2000-03-05,7.444
2000-03-06,7.116999999999999
2000-03-07,6.892
2000-03-08,6.991
2000-03-09,7.647
2000-03-10,8.299
2000-03-11,8.248999999999999
2000-03-12,7.99
2000-03-13,7.492999999999999
2000-03-14,7.367
2000-03-15,7.628
2000-03-16,8.195
2000-03-17,8.178
2000-03-18,8.0
2000-03-19,7.730000000000001
2000-03-20,7.058
2000-03-21,6.840000000000001
2000-03-22,7.322
2000-03-23,7.776999999999999
2000-03-24,8.132
2000-03-25,8.408000000000001
2000-03-26,8.321
2000-03-27,8.481
2000-03-28,8.551
2000-03-29,8.458000000000002
2000-03-30,9.016
2000-03-31,9.212
2000-04-01,9.466
2000-04-02,10.012
2000-04-03,10.458
2000-04-04,9.902000000000001
2000-04-05,9.367
2000-04-06,9.282
2000-04-07,9.512
2000-04-08,9.28
2000-04-09,8.506
2000-04-10,8.214
2000-04-11,8.092
2000-04-12,7.825
2000-04-13,7.546000000000001
2000-04-14,7.861
2000-04-15,8.285
2000-04-16,8.529
2000-04-17,8.504000000000001
2000-04-18,8.717
2000-04-19,9.142
2000-04-20,9.665000000000001
2000-04-21,9.5
2000-04-22,8.998999999999999
2000-04-23,8.728
2000-04-24,8.885
2000-04-25,8.716999999999999
2000-04-26,8.364999999999998
2000-04-27,8.176
2000-04-28,8.224
2000-04-29,8.158
2000-04-30,7.807
2000-05-01,7.889
2000-05-02,8.478
2000-05-03,8.827
2000-05-04,8.926
2000-05-05,9.360000000000001
2000-05-06,9.728
2000-05-07,10.097
2000-05-08,10.28
2000-05-09,10.565999999999999
2000-05-10,11.142999999999999
2000-05-11,11.593
2000-05-12,11.699000000000002
2000-05-13,11.926
2000-05-14,11.517
2000-05-15,10.897
2000-05-16,10.622
2000-05-17,10.522
2000-05-18,10.622
2000-05-19,10.806000000000001
2000-05-20,10.847
2000-05-21,10.928
2000-05-22,10.766
2000-05-23,10.575
2000-05-24,11.181999999999999
2000-05-25,12.149
2000-05-26,12.928
2000-05-27,13.434999999999999
2000-05-28,13.751
2000-05-29,13.466
2000-05-30,13.062999999999999
2000-05-31,12.519
2000-06-01,12.321
2000-06-02,12.184999999999999
2000-06-03,12.035
2000-06-04,11.864
2000-06-05,11.766
2000-06-06,11.145
2000-06-07,10.487
2000-06-08,10.417
2000-06-09,10.475000000000001
2000-06-10,10.690000000000001
2000-06-11,10.786000000000001
2000-06-12,10.871
2000-06-13,11.052
2000-06-14,11.055000000000001
2000-06-15,11.105
2000-06-16,11.822
2000-06-17,12.617
2000-06-18,13.221
2000-06-19,13.815999999999999
2000-06-20,14.257
2000-06-21,14.737
2000-06-22,15.193999999999999
2000-06-23,14.938999999999998
2000-06-24,14.776000000000002
2000-06-25,14.752
2000-06-26,14.521
2000-06-27,14.36
2000-06-28,14.478
2000-06-29,14.379999999999999
2000-06-30,13.839000000000002
2000-07-01,13.287
2000-07-02,12.628
2000-07-03,12.823000000000002
2000-07-04,12.9
2000-07-05,12.634
2000-07-06,12.366
2000-07-07,12.278
2000-07-08,12.048
2000-07-09,12.001000000000001
2000-07-10,12.622
2000-07-11,13.246
2000-07-12,13.794999999999998
2000-07-13,14.029
2000-07-14,14.059000000000001
2000-07-15,14.038
2000-07-16,14.081
2000-07-17,13.612
2000-07-18,13.281
2000-07-19,13.219
2000-07-20,13.094999999999999
2000-07-21,12.788999999999998
2000-07-22,12.453
2000-07-23,12.074000000000002
2000-07-24,11.940999999999999
2000-07-25,11.953
2000-07-26,12.120000000000001
2000-07-27,12.614
2000-07-28,12.767999999999999
2000-07-29,12.698
2000-07-30,12.783
2000-07-31,13.195000000000002
2000-08-01,13.654
2000-08-02,14.123
2000-08-03,14.498
2000-08-04,14.729
2000-08-05,14.690999999999999
2000-08-06,14.698000000000002
2000-08-07,14.983
2000-08-08,15.294
2000-08-09,15.397
2000-08-10,15.416
2000-08-11,15.191000000000003
2000-08-12,14.584
2000-08-13,13.873000000000001
2000-08-14,13.268
2000-08-15,12.935000000000002
2000-08-16,12.662
2000-08-17,12.378
2000-08-18,11.933
2000-08-19,11.577000000000002
2000-08-20,10.85
2000-08-21,10.842
2000-08-22,10.995
2000-08-23,11.299000000000001
2000-08-24,11.716999999999999
2000-08-25,11.967
2000-08-26,11.933
2000-08-27,12.119000000000002
2000-08-28,12.297
2000-08-29,12.361
2000-08-30,12.58
2000-08-31,12.532
2000-09-01,13.001
2000-09-02,13.386
2000-09-03,13.581
2000-09-04,13.790000000000001
2000-09-05,14.129
2000-09-06,13.929999999999998
2000-09-07,13.803999999999998
2000-09-08,13.940999999999999
2000-09-09,14.141
2000-09-10,14.122
2000-09-11,13.699000000000002
2000-09-12,13.556999999999999
2000-09-13,13.680000000000001
2000-09-14,13.507
2000-09-15,12.904
2000-09-16,12.255999999999998
2000-09-17,11.584999999999999
2000-09-18,10.654
2000-09-19,10.058
2000-09-20,10.273
2000-09-21,10.781
2000-09-22,11.009
2000-09-23,11.053
2000-09-24,11.416999999999998
2000-09-25,11.985999999999999
2000-09-26,12.001000000000001
2000-09-27,12.0
2000-09-28,12.036
2000-09-29,11.867
2000-09-30,11.313999999999998
2000-10-01,10.547999999999998
2000-10-02,9.799000000000001
2000-10-03,9.056000000000001
2000-10-04,8.229000000000001
2000-10-05,7.715999999999999
2000-10-06,8.495999999999999
2000-10-07,8.309999999999999
2000-10-08,7.944
2000-10-09,7.614
2000-10-10,7.017
2000-10-11,6.428
2000-10-12,5.962000000000001
2000-10-13,5.554
2000-10-14,5.203
2000-10-15,4.872
2000-10-16,4.2780000000000005
2000-10-17,4.747
2000-10-18,5.4
2000-10-19,5.947
2000-10-20,6.555
2000-10-21,7.147
2000-10-22,7.631
2000-10-23,8.007
2000-10-24,8.370999999999999
2000-10-25,8.748000000000001
2000-10-26,8.818999999999999
2000-10-27,8.767
2000-10-28,8.725
2000-10-29,8.711
2000-10-30,8.594
2000-10-31,8.508
2000-11-01,8.474
2000-11-02,8.576
2000-11-03,8.783000000000001
2000-11-04,8.919
2000-11-05,9.132000000000001
2000-11-06,9.517999999999999
2000-11-07,10.203
2000-11-08,10.865
2000-11-09,11.155
2000-11-10,10.797999999999998
2000-11-11,10.405999999999999
2000-11-12,10.004999999999999
2000-11-13,9.697
2000-11-14,9.047
2000-11-15,8.392
2000-11-16,7.781000000000001
2000-11-17,6.781999999999999
2000-11-18,5.661
2000-11-19,4.96
2000-11-20,4.85
2000-11-21,4.622
2000-11-22,4.3950000000000005
2000-11-23,4.1259999999999994
2000-11-24,4.425
2000-11-25,4.821
2000-11-26,4.8069999999999995
2000-11-27,4.779999999999999
2000-11-28,4.963
2000-11-29,5.1899999999999995
2000-11-30,5.167
2000-12-01,5.32
2000-12-02,5.557
2000-12-03,5.448
2000-12-04,5.088
2000-12-05,4.684
2000-12-06,4.471000000000001
2000-12-07,4.3790000000000004
2000-12-08,4.42
2000-12-09,4.42
2000-12-10,4.747000000000001
2000-12-11,5.151
2000-12-12,4.879
2000-12-13,5.087
2000-12-14,5.361
2000-12-15,5.5600000000000005
2000-12-16,6.213
2000-12-17,5.984
2000-12-18,5.665
2000-12-19,5.214
2000-12-20,4.693
2000-12-21,4.199
2000-12-22,4.112
2000-12-23,3.815
2000-12-24,3.564
2000-12-25,3.308
2000-12-26,2.5840000000000005
2000-12-27,2.838
2000-12-28,2.9939999999999998
2000-12-29,3.07
2000-12-30,3.056
2000-12-31,2.9850000000000003
2001-01-01,3.029
2001-01-02,3.008
2001-01-03,2.891
2001-01-04,2.873
2001-01-05,2.976
2001-01-06,2.9029999999999996
2001-01-07,3.065
2001-01-08,3.182
2001-01-09,3.2560000000000002
2001-01-10,3.2630000000000003
2001-01-11,3.4240000000000004
2001-01-12,3.6659999999999995
2001-01-13,3.928
2001-01-14,4.269
2001-01-15,4.561000000000001
2001-01-16,4.723000000000001
2001-01-17,4.776999999999999
2001-01-18,5.340999999999999
2001-01-19,5.9159999999999995
2001-01-20,5.962999999999999
2001-01-21,5.821
2001-01-22,5.646
2001-01-23,5.503
2001-01-24,5.29
2001-01-25,4.8999999999999995
2001-01-26,4.77
2001-01-27,4.65
2001-01-28,4.232
2001-01-29,4.261
2001-01-30,4.661
2001-01-31,5.015000000000001
2001-02-01,5.155
2001-02-02,5.193
2001-02-03,5.0600000000000005
2001-02-04,5.12
2001-02-05,5.148000000000001
2001-02-06,5.0920000000000005
2001-02-07,5.183
2001-02-08,5.096
2001-02-09,5.380000000000001
2001-02-10,5.232
2001-02-11,5.29
2001-02-12,5.606
2001-02-13,6.162000000000001
2001-02-14,6.859
2001-02-15,7.660000000000001
2001-02-16,8.392
2001-02-17,8.095
2001-02-18,7.662000000000001
2001-02-19,7.212999999999999
2001-02-20,7.645999999999999
2001-02-21,8.208
2001-02-22,8.452000000000002
2001-02-23,8.193000000000001
2001-02-24,8.132
2001-02-25,8.078999999999999
2001-02-26,7.536
2001-02-27,8.056000000000001
2001-02-28,8.589
2001-03-01,8.836
2001-03-02,9.07
2001-03-03,9.370999999999999
2001-03-04,9.2
2001-03-05,9.04
2001-03-06,8.380999999999998
2001-03-07,7.6
2001-03-08,7.5409999999999995
2001-03-09,7.241000000000001
2001-03-10,6.809
2001-03-11,6.6819999999999995
2001-03-12,6.492999999999999
2001-03-13,5.96
2001-03-14,5.948
2001-03-15,6.34
2001-03-16,6.705
2001-03-17,6.821
2001-03-18,6.712999999999999
2001-03-19,6.720999999999999
2001-03-20,6.728
2001-03-21,6.633
2001-03-22,6.333
2001-03-23,6.175
2001-03-24,6.305999999999999
2001-03-25,5.927
2001-03-26,5.569
2001-03-27,5.422
2001-03-28,5.399
2001-03-29,5.508
2001-03-30,5.891
2001-03-31,6.101999999999999
2001-04-01,5.984999999999999
2001-04-02,6.0
2001-04-03,6.343
2001-04-04,7.303
2001-04-05,8.211
2001-04-06,9.074000000000002
2001-04-07,9.823
2001-04-08,10.425
2001-04-09,10.985
2001-04-10,11.717
2001-04-11,12.440000000000001
2001-04-12,13.213
2001-04-13,13.464000000000002
2001-04-14,13.109
2001-04-15,13.225999999999999
2001-04-16,12.844
2001-04-17,12.095
2001-04-18,11.251999999999999
2001-04-19,10.444
2001-04-20,9.775
2001-04-21,9.552
2001-04-22,9.227
2001-04-23,8.903
2001-04-24,8.936
2001-04-25,8.244
2001-04-26,8.031
2001-04-27,8.254000000000001
2001-04-28,8.763
2001-04-29,9.325999999999999
2001-04-30,9.65
2001-05-01,9.658
2001-05-02,9.555
2001-05-03,9.455
2001-05-04,9.447
2001-05-05,9.846
2001-05-06,10.385
2001-05-07,10.885
2001-05-08,11.127
2001-05-09,11.214
2001-05-10,11.309999999999999
2001-05-11,11.493
2001-05-12,11.778
2001-05-13,11.72
2001-05-14,11.556999999999999
2001-05-15,11.574000000000002
2001-05-16,11.690000000000001
2001-05-17,11.739
2001-05-18,11.828999999999999
2001-05-19,12.203
2001-05-20,12.540000000000001
2001-05-21,12.871
2001-05-22,12.642999999999999
2001-05-23,12.515
2001-05-24,12.755
2001-05-25,12.617
2001-05-26,12.334
2001-05-27,12.448
2001-05-28,12.687000000000001
2001-05-29,12.404
2001-05-30,11.992
2001-05-31,11.940999999999999
2001-06-01,12.376999999999999
2001-06-02,12.674
2001-06-03,13.097
2001-06-04,13.751999999999999
2001-06-05,14.407
2001-06-06,14.637
2001-06-07,14.778
2001-06-08,15.122
2001-06-09,15.522
2001-06-10,15.489999999999998
2001-06-11,15.567000000000002
2001-06-12,15.963
2001-06-13,16.060000000000002
2001-06-14,16.179000000000002
2001-06-15,16.221
2001-06-16,15.972999999999999
2001-06-17,15.55
2001-06-18,15.231
2001-06-19,15.124
2001-06-20,15.059000000000001
2001-06-21,15.0
2001-06-22,14.996
2001-06-23,14.456
2001-06-24,13.85
2001-06-25,13.285
2001-06-26,13.231
2001-06-27,13.357999999999999
2001-06-28,13.62
2001-06-29,13.780000000000001
2001-06-30,13.982999999999999
2001-07-01,14.027000000000001
2001-07-02,14.126999999999999
2001-07-03,14.657
2001-07-04,15.27
2001-07-05,15.797
2001-07-06,16.053
2001-07-07,16.182000000000002
2001-07-08,16.137999999999998
2001-07-09,16.207
2001-07-10,16.288999999999998
2001-07-11,16.487000000000002
2001-07-12,16.496
2001-07-13,16.187
2001-07-14,15.751
2001-07-15,15.388
2001-07-16,15.097
2001-07-17,14.875
2001-07-18,14.559999999999999
2001-07-19,14.271
2001-07-20,14.267
2001-07-21,14.119
2001-07-22,13.799000000000001
2001-07-23,13.693000000000001
2001-07-24,13.803
2001-07-25,14.211000000000002
2001-07-26,14.588999999999999
2001-07-27,14.943999999999999
2001-07-28,15.445000000000002
2001-07-29,15.828
2001-07-30,15.978
2001-07-31,16.112000000000002
2001-08-01,16.199
2001-08-02,16.247000000000003
2001-08-03,16.077
2001-08-04,15.898
2001-08-05,15.785999999999998
2001-08-06,15.920999999999998
2001-08-07,16.017
2001-08-08,16.053
2001-08-09,16.003999999999998
2001-08-10,16.072
2001-08-11,16.392
2001-08-12,16.894
2001-08-13,17.406
2001-08-14,17.428
2001-08-15,17.148
2001-08-16,16.808
2001-08-17,16.715
2001-08-18,16.625999999999998
2001-08-19,16.564
2001-08-20,16.148000000000003
2001-08-21,15.515
2001-08-22,14.795999999999998
2001-08-23,14.355
2001-08-24,14.286000000000001
2001-08-25,14.502
2001-08-26,14.516
2001-08-27,14.325999999999999
2001-08-28,14.178
2001-08-29,14.035999999999998
2001-08-30,14.200999999999999
2001-08-31,14.729000000000003
2001-09-01,15.332000000000003
2001-09-02,15.690999999999999
2001-09-03,15.892
2001-09-04,16.129
2001-09-05,16.398000000000003
2001-09-06,16.551000000000002
2001-09-07,16.664
2001-09-08,16.740000000000002
2001-09-09,16.774
2001-09-10,16.765
2001-09-11,16.676
2001-09-12,16.544
2001-09-13,16.079
2001-09-14,15.568999999999999
2001-09-15,14.99
2001-09-16,14.126999999999999
2001-09-17,13.366999999999999
2001-09-18,13.032999999999998
2001-09-19,12.894
2001-09-20,12.562
2001-09-21,12.007000000000001
2001-09-22,11.616
2001-09-23,11.778
2001-09-24,11.869
2001-09-25,11.365
2001-09-26,11.086
2001-09-27,10.773
2001-09-28,10.155
2001-09-29,9.392999999999999
2001-09-30,8.773
2001-10-01,8.417
2001-10-02,7.936000000000002
2001-10-03,7.248
2001-10-04,6.856
2001-10-05,7.548
2001-10-06,7.864
2001-10-07,7.746
2001-10-08,7.567
2001-10-09,7.563000000000001
2001-10-10,7.76
2001-10-11,8.315
2001-10-12,9.088000000000001
2001-10-13,9.931999999999999
2001-10-14,10.15
2001-10-15,9.584999999999999
2001-10-16,9.261
2001-10-17,9.191999999999998
2001-10-18,9.147
2001-10-19,9.158999999999999
2001-10-20,9.083000000000002
2001-10-21,8.778
2001-10-22,8.184000000000001
2001-10-23,7.682
2001-10-24,8.003
2001-10-25,7.917999999999999
2001-10-26,7.800999999999999
2001-10-27,7.7029999999999985
2001-10-28,7.5569999999999995
2001-10-29,7.187
2001-10-30,6.7620000000000005
2001-10-31,6.360999999999999
2001-11-01,6.43
2001-11-02,6.322
2001-11-03,5.849
2001-11-04,5.858
2001-11-05,5.999
2001-11-06,6.202999999999999
2001-11-07,6.458
2001-11-08,6.811
2001-11-09,7.08
2001-11-10,7.072
2001-11-11,6.825
2001-11-12,6.455
2001-11-13,5.994
2001-11-14,5.949
2001-11-15,5.9270000000000005
2001-11-16,5.883
2001-11-17,5.814
2001-11-18,5.729
